Código 2,Producto,PUBLICO TIENDA
B-NOK61,BATERIA NOKIA 6.1,1390
B-NOK71,BATERIA NOKIA 7.1,1390
B-NOK8,BATERIA NOKIA 8,1390
B-NC1P,BATERIA NOKIA C1 PLUS,1390
B-IPADPROA1674,BATERIA PARA IPAD PRO A1674,2990
B-SAMJ100F,BATERIA SAMSUNG  J1 2015,1190
B-SAMJ200,BATERIA SAMSUNG  J200 / G360,1290
B-SAMA01,BATERIA SAMSUNG A01,1390
B-SAMA022,BATERIA SAMSUNG A022 / A125 / A127 / A135,1690
B-SAMA03,BATERIA SAMSUNG A03 / A02S / A03S / A042,1390
2P1-15183,BATERIA SAMSUNG A03 CORE,1390
B-SAMA045,BATERIA SAMSUNG A045 / A042 / A146 / A145,1690
B-SAMA10,BATERIA SAMSUNG A10,1390
B-SAMA21,BATERIA SAMSUNG A10S / A107 / A115 / A11 / A215 / A21 / A207 / A20S,1390
B-SAMA11,BATERIA SAMSUNG A11,1390
B-SAMA15,BATERIA SAMSUNG A155 A15 4G / A156 A15 5G,0
B-SAMA20,BATERIA SAMSUNG A20,1390
B-SAMA20S,BATERIA SAMSUNG A20S,1390
B-SAMA21S,BATERIA SAMSUNG A21S,1390
B-SAMA23-4G,BATERIA SAMSUNG A23 4G 2022,1690
B-SAMA25,BATERIA SAMSUNG A25,1590
B-SAMA30,BATERIA SAMSUNG A30,1390
B-SAMA30S,BATERIA SAMSUNG A30S,1390
B-SAMA31,BATERIA SAMSUNG A31 / A32 / A225 / A72,1690
B-SAMA33,BATERIA SAMSUNG A33 / A53,1590
B-SAMA52016,BATERIA SAMSUNG A5 2016,1390
B-SAMA52017,BATERIA SAMSUNG A5 2017 / A520,1390
B-SAMA8,BATERIA SAMSUNG A5 2018 / A530,1390
B-SAMA50,BATERIA SAMSUNG A50 / A50S,1390
B-SAMA51,BATERIA SAMSUNG A51,1590
B-SAMA54,BATERIA SAMSUNG A54,1590
B-SAMA6P,BATERIA SAMSUNG A6 PLUS,1390
B-SAMA7,BATERIA SAMSUNG A7 / A7 2015,1390
B-SAMA72018,BATERIA SAMSUNG A7 2018 / A750,1390
B-SAMA70,BATERIA SAMSUNG A70,1400
B-SAMA71,BATERIA SAMSUNG A71,1590
B-SAMA82018,BATERIA SAMSUNG A8 2018 / A5 2018 / A539,1390
B-SAMA920F,BATERIA SAMSUNG A9 2018 / A92OF,1390
B-SAMJ1MINI,BATERIA SAMSUNG J1 MINI,1390
B-SAMJ110,BATERIA SAMSUNG J110 / J1 ACE / J1 2015,1390
B-SAMJ250,BATERIA SAMSUNG J250 / J2 PRO / J500 / J2 PRIME / G532 / J3,990
B-SAMJ32017,BATERIA SAMSUNG J3 2017 / J330 / J3 PRO,1390
B-SAMJ4,BATERIA SAMSUNG J4 / J400,1390
B-SAMJ42018,BATERIA SAMSUNG J4 2018,1390
B-SAMJ5P,BATERIA SAMSUNG J5 PRIME / G5700,1390
B-SAMJ510,BATERIA SAMSUNG J510 / J5 2016,1390
B-SAMJ7,BATERIA SAMSUNG J7 / J700 / J7 NEO / J400 / J4,1390
B-SAMJ72018,BATERIA SAMSUNG J7 2018,1390
B-SAMJ7P,BATERIA SAMSUNG J7 PRIME,1390
B-SAMJ701,BATERIA SAMSUNG J701 / J7 NEO,1390
B-SAMJ710,BATERIA SAMSUNG J710 / J7 2016,1390
B-SAMJ730,BATERIA SAMSUNG J730 / J7 2017 / J7 PRO,1390
B-SAMN10,BATERIA SAMSUNG NOTE 10,1690
