Código 2,Producto,PUBLICO TIENDA
F-IPH13PMX,FLEX SENSOR DE PROXIMIDAD IPHONE 13 PRO MAX,2500
F-PROIPH12M,FLEX SENSOR PROXIMIDAD  IPHONE 12 MINI,2500
F-PROIPH12PM,FLEX SENSOR PROXIMIDAD  IPHONE 12 PRO MAX,2500
F-IPHXS,FLEX SENSOR PROXIMIDAD  IPHONE XS,1300
F-PHUAP30,FLEX SENSOR PROXIMIDAD HUAWEI P30,1500
F-SIPH11P,FLEX SENSOR PROXIMIDAD IPHONE 11 PRO,2590
F-PROIPH12P,FLEX SENSOR PROXIMIDAD IPHONE 12 / 12 PRO,2500
F-IPH14,FLEX SENSOR PROXIMIDAD IPHONE 14,5000
F-IPH14PS,FLEX SENSOR PROXIMIDAD IPHONE 14 PLUS,5000
F-IPH14P,FLEX SENSOR PROXIMIDAD IPHONE 14 PRO,5500
F-IPH14PRM,FLEX SENSOR PROXIMIDAD IPHONE 14 PRO MAX,5500
F-SPIPH15PR,FLEX SENSOR PROXIMIDAD IPHONE 15 PRO,2500
FS-IPH5C,FLEX SENSOR PROXIMIDAD IPHONE 5C,1450
F-IPHX,FLEX SENSOR PROXIMIDAD IPHONE X,1750
F-IPHPROXR,FLEX SENSOR PROXIMIDAD IPHONE XR CON MIGRACION FACEID,2400
F-SONZ5P,FLEX SENSOR PROXIMIDAD SONY Z5 PREMIUM,1500
FV-HUAP9,FLEX VIBRADOR HUAWEI P9,1200
FV-SONYZ5P,FLEX VIBRADOR SONY Z5 PREMIUM,650
FV-SAMA12VOL,FLEX VOLUMEN + / - SAMSUNG A12 / A125,1590
FV-IPH11,FLEX VOLUMEN IPHONE 11,2000
FV-XIAMI11L,FLEX VOLUMEN XIAOMI MI 11 LITE (M2101K9AG),1690
R-RESETEO,INSTALACION MAC OS,2500
L-IPAD5,LCD IPAD 5 A1822 / A1823 - IPAD AIR A1474 / A1475 - IPAD 6,3990
P-IPAD7,LCD IPAD 7  A2197 / A2198 / A2200 - IPAD 8,4990
P-IPADMINI2,LCD IPAD MINI 2  A1489 / A1490 / A1491,4980
L-IPADMINI,LCD IPAD MINI A1432 / A1451 / A1455,4100
L-HON200L,LENS DE CAMARA HONOR 200 LITE,790
L-HO90LITE,LENS DE CAMARA HONOR 90 LITE,690
L-HUAHOMA5L,LENS DE CAMARA HONOR MAGIC 5 LITE 5G,790
L-HUAHOMA6L,LENS DE CAMARA HONOR MAGIC 6 LITE,790
L-HUAHOX8,LENS DE CAMARA HUAWEI HONOR X8 4G,990
L-HUAN5T,LENS DE CAMARA HUAWEI NOVA 5T,690
L-HUAN9SE,LENS DE CAMARA HUAWEI NOVA 9 SE,790
L-HUAP20,LENS DE CAMARA HUAWEI P20,690
L-HUAP30,LENS DE CAMARA HUAWEI P30,1220
L-HUAP30L,LENS DE CAMARA HUAWEI P30 LITE,890
L-HUAP40L,LENS DE CAMARA HUAWEI P40 LITE,690
L-HUAY92019,LENS DE CAMARA HUAWEI Y9 2019,690
L-HUAY92019PRIME,LENS DE CAMARA HUAWEI Y9 PRIME 2019,690
L-IPH11,LENS DE CAMARA IPHONE 11,1500
L-IPH11P,LENS DE CAMARA IPHONE 11 PRO,1500
L-IPH11PM,LENS DE CAMARA IPHONE 11 PRO MAX,1500
L-IPH12,LENS DE CAMARA IPHONE 12 / 12 PRO,1500
L-IPH12M,LENS DE CAMARA IPHONE 12 MINI,990
L-IPH12PM,LENS DE CAMARA IPHONE 12 PRO MAX,1500
L-IPH13,LENS DE CAMARA IPHONE 13 / 13 MINI,1500
L-IPH13P,LENS DE CAMARA IPHONE 13 PRO / 13 PRO MAX,1700
L-IPH14,LENS DE CAMARA IPHONE 14,2500
L-IPH14PL,LENS DE CAMARA IPHONE 14 PLUS,2000
L-IPH14PR,LENS DE CAMARA IPHONE 14 PRO,2500
L-IPH14PM,LENS DE CAMARA IPHONE 14 PRO MAX,2000
L-IPH15,LENS DE CAMARA IPHONE 15,2000
L-IPH15PL,LENS DE CAMARA IPHONE 15 PLUS,2000
L-IPH15P,LENS DE CAMARA IPHONE 15 PRO,2000
L-IPH15PM,LENS DE CAMARA IPHONE 15 PRO MAX,2000
L-IPH16,LENS DE CAMARA IPHONE 16,2500
L-IPH16PL,LENS DE CAMARA IPHONE 16 PLUS,2500
L-IPH16P,LENS DE CAMARA IPHONE 16 PRO,2500
L-IPH16PM,LENS DE CAMARA IPHONE 16 PRO MAX,2500
L-IPH6,LENS DE CAMARA IPHONE 6,690
L-IPH6P,LENS DE CAMARA IPHONE 6 PLUS,690
L-IPH6S,LENS DE CAMARA IPHONE 6S,690
L-IPH6SP,LENS DE CAMARA IPHONE 6S PLUS,690
L-IPH7,LENS DE CAMARA IPHONE 7,690
L-IPH7P,LENS DE CAMARA IPHONE 7 PLUS,690
L-IPH8,LENS DE CAMARA IPHONE 8,690
L-IPH8P,LENS DE CAMARA IPHONE 8 PLUS,690
L-IPHX,LENS DE CAMARA IPHONE X,690
L-IPHXR,LENS DE CAMARA IPHONE XR,800
L-IPHXS,LENS DE CAMARA IPHONE XS,690
L-IPHXSMAX,LENS DE CAMARA IPHONE XS MAX,690
L-MOTOE7IP,LENS DE CAMARA MOTOROLA E7I POWER  / XT2097,690
L-MOTOE20P,LENS DE CAMARA MOTOROLA EDGE 20 PRO,890
L-MOTOG30,LENS DE CAMARA MOTOROLA G30  / XT2129,690
L-MOTOG8PL,LENS DE CAMARA MOTOROLA G8 POWER LITE,690
L-MOTOG9PLUS,LENS DE CAMARA MOTOROLA G9 PLUS / XT2087,990
L-SAMA01,LENS DE CAMARA SAMSUNG A01,890
L-SAMA02,LENS DE CAMARA SAMSUNG A02 / A022,690
L-SAMA042,LENS DE CAMARA SAMSUNG A042 / A04E,600
L-SAMA055,LENS DE CAMARA SAMSUNG A055,790
L-SAMA10,LENS DE CAMARA SAMSUNG A10,690
L-SAMA10S,LENS DE CAMARA SAMSUNG A10S,690
L-SAMA11,LENS DE CAMARA SAMSUNG A11,690
L-SAMA12,LENS DE CAMARA SAMSUNG A12,790
L-SAMA125,LENS DE CAMARA SAMSUNG A125/A12,690
L-SAMA13,LENS DE CAMARA SAMSUNG A13,650
L-SAMA14,LENS DE CAMARA SAMSUNG A14,790
L-SAMA20,LENS DE CAMARA SAMSUNG A20,690
L-SAMA20S,LENS DE CAMARA SAMSUNG A20S,690
L-SAMA21,LENS DE CAMARA SAMSUNG A21,585
L-SAMA21S,LENS DE CAMARA SAMSUNG A21S,690
L-SAMA224G,LENS DE CAMARA SAMSUNG A22 4G,690
L-SAMA30,LENS DE CAMARA SAMSUNG A30,690
L-SAMA30S,LENS DE CAMARA SAMSUNG A30S,690
L-SAMA31,LENS DE CAMARA SAMSUNG A31,690
L-SAMA34,LENS DE CAMARA SAMSUNG A34,650
L-SAMA40,LENS DE CAMARA SAMSUNG A40,690
L-SAMA41,LENS DE CAMARA SAMSUNG A41,675
L-SAMA50,LENS DE CAMARA SAMSUNG A50,690
L-SAMA50S,LENS DE CAMARA SAMSUNG A50S / A70,690
L-SAMA51,LENS DE CAMARA SAMSUNG A51,690
L-SAMA54,LENS DE CAMARA SAMSUNG A54,690
L-SAMA55,LENS DE CAMARA SAMSUNG A55,690
L-SAMA70,LENS DE CAMARA SAMSUNG A70,690
L-SAMA71,LENS DE CAMARA SAMSUNG A71,690
L-SAMN20,LENS DE CAMARA SAMSUNG NOTE 20,900
L-CAMSAMN20U,LENS DE CAMARA SAMSUNG NOTE 20 ULTRA NEGRO,990
L-SAMS20,LENS DE CAMARA SAMSUNG S20,990
L-SAMS20FE,LENS DE CAMARA SAMSUNG S20 FE,990
L-SAMS20P,LENS DE CAMARA SAMSUNG S20 PLUS,990
L-CAMSAMS20U,LENS DE CAMARA SAMSUNG S20 ULTRA NEGRO,990
L-CAMSAMS21FE,LENS DE CAMARA SAMSUNG S21 FE,790
L-CAMSAMS21U,LENS DE CAMARA SAMSUNG S21 ULTRA,790
L-CAMSAMS22U,LENS DE CAMARA SAMSUNG S22 ULTRA,990
L-SAMS24U,LENS DE CAMARA SAMSUNG S24 ULTRA,990
L-XIAMIA1,LENS DE CAMARA XIAOMI MI A1,690
L-XIARN10,LENS DE CAMARA XIAOMI NOTE 10 / 10 PRO,690
L-XIRPX3P,LENS DE CAMARA XIAOMI POCO X3 PRO,690
L-XIAR10,LENS DE CAMARA XIAOMI REDMI 10,790
L-XIARE10C,LENS DE CAMARA XIAOMI REDMI 10C,690
L-XIAR13C,LENS DE CAMARA XIAOMI REDMI 13C,790
L-XIARED9A,LENS DE CAMARA XIAOMI REDMI 9A,690
L-XIARED9C,LENS DE CAMARA XIAOMI REDMI 9C,690
L-XIARED9T,LENS DE CAMARA XIAOMI REDMI 9T,690
L-XIRN10,LENS DE CAMARA XIAOMI REDMI NOTE 10 4G,690
L-XIAN105G,LENS DE CAMARA XIAOMI REDMI NOTE 10 5G,690
L-XIAN10PRO,LENS DE CAMARA XIAOMI REDMI NOTE 10 PRO,790
L-XIARN10S,LENS DE CAMARA XIAOMI REDMI NOTE 10S,690
L-XIARN11,LENS DE CAMARA XIAOMI REDMI NOTE 11,650
L-XIARN11P,LENS DE CAMARA XIAOMI REDMI NOTE 11 PRO,990
L-XIARN11S,LENS DE CAMARA XIAOMI REDMI NOTE 11S,650
L-XIARN12S,LENS DE CAMARA XIAOMI REDMI NOTE 12S,790
L-XIARN13P-4G,LENS DE CAMARA XIAOMI REDMI NOTE 13 PRO 4G,790
L-XIARN13P,LENS DE CAMARA XIAOMI REDMI NOTE 13 PRO 5G,890
L-XIARN7,LENS DE CAMARA XIAOMI REDMI NOTE 7,690
L-XIARN8,LENS DE CAMARA XIAOMI REDMI NOTE 8,690
L-XIAN8,LENS DE CAMARA XIAOMI REDMI NOTE 8 PRO / 8T,690
L-XIARN9S,LENS DE CAMARA XIAOMI REDMI NOTE 9 / 9S / 9 PRO,690
L-XIAREDS2,LENS DE CAMARA XIAOMI REDMI S2,690
563625885,LENS HUAWEI HONOR  MAGIC 7 LITE,790
52458884,LENS HUAWEI Y6 2019 CAMARA NEGRO,790
LPCIP16-16P-T,LENS PROTECTOR DE CAMARA APPLE IPHONE 16/16 PLUS,690
6941402785178,LENS PROTECTOR DE CAMARA APPLE IPHONE 16/16 PRO MAX,690
MAC-DISA2179,"PANTALLA  APPLE MACBOOK AIR 13.3"" COMP (A2179) SILVER",22500
P-IPAD11PRO,PANTALLA  IPAD 11 PRO  A2068 / A2228 / A2230 / A2231 2º GEN,13990
P-IPADPRO11,PANTALLA  IPAD PRO 11 2018  A1934 / A1980,12590
P-AL1SE,PANTALLA ALCATEL 1SE / TCL T PRO  / 5130M / 5030M,2790
P-ALC3X2019,"PANTALLA ALCATEL 3X 2019 OT5061U / FPC6503-1 / TCL T9 6.5"" / 10 SE T766J 6",1990
P-ALC3X2020,PANTALLA ALCATEL 3X 2020 / 5X (FPC 6503-2),1990
MAC-DIA1466,"PANTALLA APPLE MACBOOK AIR 13"" COMP. SILVER (A1466)",13690
MAC-DIA2337,"PANTALLA APPLE MACBOOK AIR M1 13"" COMP (A2337) SILVER",17890
MAC-DIA1502,"PANTALLA APPLE MACBOOK PRO 13"" 2013 - 2014 COMP. PLATEADO (A1502)",9200
MAC-DIA2338,"PANTALLA APPLE MACBOOK PRO 13"" 2020 COMP. (A2338) SILVER",19990
MAC-DIA1989,"PANTALLA APPLE MACBOOK PRO 13.3"" COMP. (A1989/A2159/A2251/A2289) SPACE GRAY",18990
P-BLA8900P,PANTALLA BLACKVIEW 8900 PRO,3500
P-BLAA96,PANTALLA BLACKVIEW A96,3100
P-BLABV4900,PANTALLA BLACKVIEW BV4900,2600
P-BLABV7100,PANTALLA BLACKVIEW BV7100,3300
P-BLUG51P,PANTALLA BLU G51 PLUS,3490
P-GOO3XL,PANTALLA GOOGLE PIXEL 3XL,3890
P-GOPIX4A,PANTALLA GOOGLE PIXEL 4A,9990
P-GOOP4XL,PANTALLA GOOGLE PIXEL 4XL,4990
P-GOOPIX5A,PANTALLA GOOGLE PIXEL 5A 5G,8900
P-GOOPIX6,PANTALLA GOOGLE PIXEL 6,5990
P-GOOPIX6P,PANTALLA GOOGLE PIXEL 6 PRO,6290
P-GOOPIX7P,PANTALLA GOOGLE PIXEL 7 PRO,4590
P-HONX6B,PANTALLA HONOR  X6B 5G / X7C 2024,2990
P-HON10L,PANTALLA HONOR 10 LITE / 20 LITE,2890
P-HON200,PANTALLA HONOR 200,7990
P-HON8X,PANTALLA HONOR 8X,1990
P-HON90,PANTALLA HONOR 90 REA-NX9,7390
P-HONMAG5L-5G,PANTALLA HONOR MAGIC 5 LITE 5G / X9A 5G ( RMO-NX2 ),3890
P-HONMAG6L,PANTALLA HONOR MAGIC 6 LITE,3990
P-HONMAG6P,PANTALLA HONOR MAGIC 6 PRO,13990
P-HONMAG7L,PANTALLA HONOR MAGIC 7 LITE,4390
P-HONX5,PANTALLA HONOR X5,2590
P-HONX6A,PANTALLA HONOR X6A WDY-LX3 / X5 PLUS / X5B,2790
P-HONX6S,PANTALLA HONOR X6S / HONOR X8A 5G (RBN-NX3) (VNE-LX2) (VNE-N41) (VNE-LX3),2590
P-HONX7,PANTALLA HONOR X7 /  PLAY 6T / HONOR PLAY 30 PLUS,2990
P-HONX7A,PANTALLA HONOR X7A,2990
P-HONX7B,PANTALLA HONOR X7B,2990
P-HONX8,PANTALLA HONOR X8 (TFY-LX1) (TFY-LX2) (TFY-LX3),2790
P-HONX8A,PANTALLA HONOR X8A 4G / HONOR 90 LITE (CRT-LX3),2890
P-HONX8B,PANTALLA HONOR X8B 2023 (LLY-LX3) / HONOR 200 LITE,4500
P-HUAM10,PANTALLA HUAWEI MATE 10,3590
P-HUAMATE10LTE,PANTALLA HUAWEI MATE 10 LITE,2390
P-HUAMA20L,PANTALLA HUAWEI MATE 20 LITE / NOVA 3I (SNE-LX3),1990
P-HUAM20,PANTALLA HUAWEI MATE 20 ORIGINAL (02352FRA),3590
P-HUAM40P,PANTALLA HUAWEI MATE 40 PRO,12590
P-HUAM9,PANTALLA HUAWEI MATE 9,2990
P-HUAMATE9L-N,PANTALLA HUAWEI MATE 9 LITE/ HONOR 6X NEGRO,2790
P-HUAMATP,PANTALLA HUAWEI MATE PAD T10,2890
P-HUANOV10,PANTALLA HUAWEI NOVA 10,6890
P-HUANOV10SE,PANTALLA HUAWEI NOVA 10 SE,4790
P-HUAN2P,PANTALLA HUAWEI NOVA 2 PLUS,2990
P-HUANOVA5T,PANTALLA HUAWEI NOVA 5T / NOVA 5I PRO / HONOR 20 / 20S / 20 PRO (YAL-L21),2790
P-HUANOVA8I,PANTALLA HUAWEI NOVA 8I,2890
P-HUANOV9,PANTALLA HUAWEI NOVA 9,4500
P-HUAN9SE,PANTALLA HUAWEI NOVA 9 SE,2990
P-HUAY60,PANTALLA HUAWEI NOVA Y60,2600
P-HUAY70,PANTALLA HUAWEI NOVA Y70 (MGA-LX3) (MGA-LX9),2790
P-HUAY90,PANTALLA HUAWEI NOVA Y90,2790
P-HUAPS,PANTALLA HUAWEI P SMART,2790
P-HUAPS2019,PANTALLA HUAWEI P SMART 2019  POT LX3 ORIGINAL,1990
P-HUAPS2021,PANTALLA HUAWEI P SMART 2021 / Y7A /,1990
P-HUAP10,PANTALLA HUAWEI P10,2990
P-HUAP10LITE,PANTALLA HUAWEI P10 LITE,2690
P-HUAP10S,PANTALLA HUAWEI P10 SELFIE,2990
P-HUAP20,PANTALLA HUAWEI P20 (02351WKF),1990
P-HUAP20L,PANTALLA HUAWEI P20 LITE,2790
P-HUAP20P,PANTALLA HUAWEI P20 PRO (CLT-L09),6590
P-HUAP30LITE,PANTALLA HUAWEI P30 LITE ORI / CHI (MAR-LX3A),1990
P-HUAP30P,PANTALLA HUAWEI P30 PRO (VOG-L04),7990
P-HUAP40LITE,PANTALLA HUAWEI P40 LITE (JNY-L21A),1990
P-HUAP8LITE,PANTALLA HUAWEI P8 LITE (ALE-L21),2690
P-HUAP9,PANTALLA HUAWEI P9,2890
P-HUAP9LITE,PANTALLA HUAWEI P9 LITE,1990
P-HUAP9LS,PANTALLA HUAWEI P9 LITE SMART,2690
P-HUAY3II,PANTALLA HUAWEI Y3 II,2590
P-HUAY52016,PANTALLA HUAWEI Y5 2016 / Y5 II,2590
P-HUAY52018,PANTALLA HUAWEI Y5 2018 / HONOR 7S,2390
P-HUAY52019,PANTALLA HUAWEI Y5 2019,2890
P-HUAY5L-N,PANTALLA HUAWEI Y5 LITE NEGRA,1990
P-HUAY5P,PANTALLA HUAWEI Y5P  Y5 PRIME,2890
P-HUAY62018,PANTALLA HUAWEI Y6 2018 / HONOR 7A,2890
P-HUAY62019,PANTALLA HUAWEI Y6 2019 / HONOR 8A / Y6S ( MRD-LX3 ),2690
P-HUAY6P,PANTALLA HUAWEI Y6P / HONOR 9A,2690
P-HUAY72017,PANTALLA HUAWEI Y7 2017,2790
P-HUAY72018,PANTALLA HUAWEI Y7 2018,2690
P-HUAY72019,PANTALLA HUAWEI Y7 2019 (DUB-LX2),2690
P-HUAY7PRIME,PANTALLA HUAWEI Y7 PRIME,2690
P-HUAY7P,PANTALLA HUAWEI Y7P / P40 LITE E,2990
P-HUAY8P,PANTALLA HUAWEI Y8P,3590
P-HUAY92019,PANTALLA HUAWEI Y9 2019 / Y8S (JKM-LX3),1690
P-HUAY9P2019,PANTALLA HUAWEI Y9 PRIME STK-LX3 / STK-LX1 HONOR 9X / HLK-L42 HONOR 9X PRO 6.59,1690
P-HUAY9A,PANTALLA HUAWEI Y9A (FRL-L23),1990
P-HUAWY9S,PANTALLA HUAWEI Y9S (STK-LX3),1990
P-IPADAIR2,PANTALLA IPAD AIR 2 - A1566 / A1567,6990
P-IPADAIR3,PANTALLA IPAD AIR 3 - A2152,11990
P-IPADAIR4,PANTALLA IPAD AIR 4 2020 (A2316),11990
P-IPADMINI3,PANTALLA IPAD MINI 3   A1599 / A1600 / A1601,3790
P-IPADMINI4,PANTALLA IPAD MINI 4  A1538 / A1550,5590
P-IPADP10.5-B,PANTALLA IPAD PRO 10.5 BLANCO A1701 / A1709  2º GEN,11590
P-IPADP105-N,PANTALLA IPAD PRO 10.5 NEGRO A1701 / A1709 2º GEN,8990
P-IPADP11-N,PANTALLA IPAD PRO 11 NEGRO A2759 / A2761,13990
P-IPADPRO12.9,PANTALLA IPAD PRO 12.9  A1670 / A1671 / A1652 2º GEN BLANCO,12590
P-IPADPRO2021,PANTALLA IPAD PRO 12.9 A2378 5TA GEN,14500
P-IPH11-GX,PANTALLA IPHONE 11 GX OLED,3990
P-IPH11-RJ,PANTALLA IPHONE 11 INCELL RJ,2590
P-IPH11P-ORI,PANTALLA IPHONE 11 PRO,4990
P-IPH11PRO-RJ,PANTALLA IPHONE 11 PRO INCELL RJ,2890
P-IPH11PM-ORI,PANTALLA IPHONE 11 PRO MAX,6890
P-IPH11PM-KD,PANTALLA IPHONE 11 PRO MAX INCELL,2790
P-IPH11PM-O,PANTALLA IPHONE 11 PRO MAX OLED,3990
P-IPH11PO-YK,PANTALLA IPHONE 11 PRO OLED,3990
P-IPH11-ORI,PANTALLA IPHONE 11 SERVICE PACK,4990
P-IPH12,PANTALLA IPHONE 12 / 12 PRO,7590
P-IPH12RJ,PANTALLA IPHONE 12 / 12 PRO INCELL,2950
P-IPH12YKOLED,PANTALLA IPHONE 12 / 12 PRO OLED,4500
P-IPH12M,PANTALLA IPHONE 12 MINI,8900
P-IPH12MHO,PANTALLA IPHONE 12 MINI OLED,5690
P-IPH12MRJ,PANTALLA IPHONE 12 MINI RJ INCELL,3500
P-IPH12PM,PANTALLA IPHONE 12 PRO MAX,11500
P-IPH12PMRJ,PANTALLA IPHONE 12 PRO MAX INCELL,7490
P-IPH12PMYKOLED,PANTALLA IPHONE 12 PRO MAX OLED,9190
P-IPH13ORI,PANTALLA IPHONE 13,15590
P-IPH13M,PANTALLA IPHONE 13 MINI,9890
P-IPH13MKD,PANTALLA IPHONE 13 MINI KD INCELL,2890
P-IPH13M-OL,PANTALLA IPHONE 13 MINI OLED,6590
P-IPH13YK,PANTALLA IPHONE 13 OLED,6590
P-IPH13P,PANTALLA IPHONE 13 PRO,19990
P-IPH13PMORI,PANTALLA IPHONE 13 PRO MAX,22500
P-IPH13PM-IN,PANTALLA IPHONE 13 PRO MAX KD INCELL,12590
P-IPH13PM,PANTALLA IPHONE 13 PRO MAX OLED,15590
P-IPH13P-OL,PANTALLA IPHONE 13 PRO OLED,12590
P-IPH13P-RJ,PANTALLA IPHONE 13 PRO RJ INCELL,6990
P-IPH13RJ,PANTALLA IPHONE 13 RJ INCELL,3890
P-IPH14KD,PANTALLA IPHONE 14 KD INCELL,3690
P-IPH14OL,PANTALLA IPHONE 14 OLED,7590
P-IPH14,PANTALLA IPHONE 14 ORI,10990
P-IPH14PLUS,PANTALLA IPHONE 14 PLUS,19190
P-IPH14PLUSRJ,PANTALLA IPHONE 14 PLUS INCELL,8890
P-IPH14PRO,PANTALLA IPHONE 14 PRO,26590
P-IPH14PROGX,PANTALLA IPHONE 14 PRO GX OLED,16190
P-IPH14PMORI,PANTALLA IPHONE 14 PRO MAX,24590
P-IPH14PMX-O,PANTALLA IPHONE 14 PRO MAX HARD OLED,15990
P-IPH14PMX-I,PANTALLA IPHONE 14 PRO MAX INCELL,9290
P-IPH14PRORJ,PANTALLA IPHONE 14 PRO RJ INCELL,8690
P-IPH15,PANTALLA IPHONE 15,16900
P-IPH15RJ,PANTALLA IPHONE 15 INCELL,6500
P-IPH15OL,PANTALLA IPHONE 15 OLED,13800
P-IPH15P-IN,PANTALLA IPHONE 15 PLUS INCELL,10990
P-IPH15P-OL,PANTALLA IPHONE 15 PLUS OLED,16990
P-IPH15P,PANTALLA IPHONE 15 PLUS ORIGINAL,23590
P-IPH15PM-IN,PANTALLA IPHONE 15 PRO MAX INCELL,12990
P-IPH15PM-OL,PANTALLA IPHONE 15 PRO MAX OLED,19990
P-IPH15PM-OR,PANTALLA IPHONE 15 PRO MAX ORIGINAL,28990
P-IPH15PR,PANTALLA IPHONE 15 PRO OEM,16900
531254632,PANTALLA IPHONE 15 PRO OLED,13900
P-IPH15PRJ,PANTALLA IPHONE 15 PRO RJ INCELL,7990
P-IPH16-O,PANTALLA IPHONE 16 (SERVICE PACK),23990
P-IPH16-JK,PANTALLA IPHONE 16 JK INCELL,8990
P-IPH16P-O,PANTALLA IPHONE 16 PLUS (SERVICE PACK),22590
P-IPH16P-JK,PANTALLA IPHONE 16 PLUS JK INCELL,7000
P-IPH16P-OL,PANTALLA IPHONE 16 PLUS OLED,12590
P-IPH16PR-O,PANTALLA IPHONE 16 PRO (SERVICE PACK),29990
P-IPH16PR-I,PANTALLA IPHONE 16 PRO INCELL,9990
P-IPH16PM-OR,PANTALLA IPHONE 16 PRO MAX (SERVICE PACK),29990
P-IPH16PM-I,PANTALLA IPHONE 16 PRO MAX INCELL,16990
P-IPH16PR-SO,PANTALLA IPHONE 16 PRO SOFT OLED,14800
P-IPH16-SO,PANTALLA IPHONE 16 SOFT OLED,16590
P-IPH4-N,PANTALLA IPHONE 4 NEGRO,2590
P-IPH5-B,PANTALLA IPHONE 5 BLANCA,2590
P-IPH5-N,PANTALLA IPHONE 5 NEGRO,1990
P-IPH5C,PANTALLA IPHONE 5C,2690
P-IPH5S-B,PANTALLA IPHONE 5S / SE BLANCA,1500
P-IPH5S-N,PANTALLA IPHONE 5S / SE NEGRA,1500
P-IPH6-B,PANTALLA IPHONE 6 BLANCA,690
P-IPH6-N,PANTALLA IPHONE 6 NEGRA,690
P-IPH6P-B,PANTALLA IPHONE 6 PLUS BLANCA,2690
P-IPH6P-N,PANTALLA IPHONE 6 PLUS NEGRA,2690
P-IPH6S-B,PANTALLA IPHONE 6S BLANCA,1590
P-IPH6S-N,PANTALLA IPHONE 6S NEGRA,1190
P-IPH6SP-B,PANTALLA IPHONE 6S PLUS BLANCA,1800
P-IPH6SP-N,PANTALLA IPHONE 6S PLUS NEGRO,2790
P-IPH7-B,PANTALLA IPHONE 7 BLANCA,1590
P-IPH7-N,PANTALLA IPHONE 7 NEGRA,1590
P-IPH7P-B,PANTALLA IPHONE 7 PLUS BLANCA,1990
P-IPH7P-N,PANTALLA IPHONE 7 PLUS NEGRA,1990
P-IPH8B-O,PANTALLA IPHONE 8 / SE 2020 BLANCA ORIGINAL,2890
P-IPH8-B,PANTALLA IPHONE 8 / SE 2020 BLANCA TIANMA GLASS,1290
P-IPH8-N,PANTALLA IPHONE 8 / SE 2020 NEGRA TIANMA GLASS,1290
P-IPH8P-B,PANTALLA IPHONE 8 PLUS BLANCA TIANMA GLASS,1990
P-IPH8P-N,PANTALLA IPHONE 8 PLUS NEGRA,1990
P-IPHSE22-N,PANTALLA IPHONE SE 2022 NEGRO TIANMA GLASS,1990
P-IPHXOG,PANTALLA IPHONE X,5190
P-IPHXKD,PANTALLA IPHONE X INCELL,1890
P-IPHX,PANTALLA IPHONE X OLED,3590
P-IPHXR-GX,PANTALLA IPHONE XR GX OLED,3790
P-IPHXRRJ,PANTALLA IPHONE XR INCELL RJ,1800
P-IPHXRORI,PANTALLA IPHONE XR ORIGINAL,4990
P-IPHXSOG,PANTALLA IPHONE XS,4990
P-IPHXSRJ,PANTALLA IPHONE XS INCELL,2790
P-IPHXSMOG,PANTALLA IPHONE XS MAX,8990
P-IPHXSMJK,PANTALLA IPHONE XS MAX INCELL,1890
P-IPHXSMYK,PANTALLA IPHONE XS MAX OLED,3890
P-IPHXSYK,PANTALLA IPHONE XS OLED,3990
P-LGG4-N,PANTALLA LG G4 NEGRA,2890
P-LGK10,PANTALLA LG K10,2890
P-LGK11P,PANTALLA LG K11 PLUS / X4010,2590
P-LGK202019-N,PANTALLA LG K20 2019 NEGRA,2990
P-LGK220,PANTALLA LG K220 / X POWER,2990
P-LGK3,PANTALLA LG K3 2016 / K4 K120,2790
P-LGK350,PANTALLA LG K350,2890
P-LGK41S,PANTALLA LG K41S,2990
P-LGK8V-N,PANTALLA LG K8V VERIZON NEGRO,3590
P-LGQ6,PANTALLA LG Q6,3890
P-LGQ60,PANTALLA LG Q60 / K50,2590
P-MOTODEFY,PANTALLA MOTOROLA DEFY 2021,2990
P-MOTOE13,PANTALLA MOTOROLA E13,1890
P-MOTOG04,PANTALLA MOTOROLA E14 / XT2421-2 G04 G04S / XT2423-1 G24 G24 POWER,2690
P-MOTOE20,PANTALLA MOTOROLA E20 / XT2155 MC3A9,2590
P-MOTOE22,PANTALLA MOTOROLA E22,1990
P-MOTOE32,PANTALLA MOTOROLA E32 / G22,1990
P-MOTE4,PANTALLA MOTOROLA E4,1990
P-MOTE4PLUS,PANTALLA MOTOROLA E4 PLUS,2590
P-MOTOE40,PANTALLA MOTOROLA E40 // E30,1990
P-MOTOE5,PANTALLA MOTOROLA E5,3590
P-MOTOE5PL,PANTALLA MOTOROLA E5 PLAY / XT1920,2590
P-MOTOE5P,PANTALLA MOTOROLA E5 PLUS,3890
P-MOTOE6PLAY,PANTALLA MOTOROLA E6 PLAY,2590
P-MOTE6P-N,PANTALLA MOTOROLA E6 PLUS NEGRA,2890
P-MOTOE6S,PANTALLA MOTOROLA E6S,2690
P-MOTOE7XT,PANTALLA MOTOROLA E7 (XT-2095-1),2990
P-MOTE7PLUS,PANTALLA MOTOROLA E7 PLUS / G9 PLAY,2690
P-MOTOE7IP,PANTALLA MOTOROLA E7I POWER / XT2097,2690
P-MOTOE20L,PANTALLA MOTOROLA EDGE 20 LITE / XT2139,5290
P-MOTOED20P,PANTALLA MOTOROLA EDGE 20 PRO / EDGE 20,6590
P-MOTOED30F,PANTALLA MOTOROLA EDGE 30 FUSION,5690
P-MOTOED30N,PANTALLA MOTOROLA EDGE 30 NEO,6890
